Gamma_cm^-1,Atomic_Mean_Density,Defect_Mean_Density,Density_Difference,Log10_Density_Ratio_eps,Atomic_Mean_Subsample_Success,Defect_Mean_Subsample_Success,Success_Difference,Defect_Density_Note
0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Below numerical detection threshold
0.0001492495545051829,1.0440478878864627e-182,0.0,1.0440478878864627e-182,0.0,0.0,0.0,0.0,Below numerical detection threshold
0.00022275429519995563,6.817913285727943e-85,0.0,6.817913285727943e-85,0.0,0.0,0.0,0.0,Below numerical detection threshold
0.00033245979322709415,5.562009215124375e-41,0.0,5.562009215124375e-41,0.0,0.0,0.0,0.0,Below numerical detection threshold
0.0004961947603002903,2.872389855149546e-21,0.0,2.872389855149546e-21,1.247461272339327e-06,0.0,0.0,0.0,Below numerical detection threshold
0.0007405684692262435,2.031934949913158e-12,0.0,2.031934949913158e-12,3.308123482255478,0.0,0.0,0.0,Below numerical detection threshold
0.0011052951411260222,1.9099027543532922e-08,0.0,1.9099027543532922e-08,7.281011277775862,0.0,0.0,0.0,Below numerical detection threshold
0.0016496480740980208,1.1786969298135834e-06,0.0,1.1786969298135834e-06,9.071402152681838,0.0,0.0,0.0,Below numerical detection threshold
0.0024620924014946257,7.877946821280286e-06,0.0,7.877946821280286e-06,9.896413044908236,0.0,0.0,0.0,Below numerical detection threshold
0.003674661940736688,1.9636837470371357e-05,0.0,1.9636837470371357e-05,10.293071545603402,0.0,0.0,0.0,Below numerical detection threshold
0.005484416576121015,3.185448597550895e-05,0.0,3.185448597550895e-05,10.503170601432913,0.011111111111111112,0.0,0.011111111111111112,Below numerical detection threshold
0.008185467307069028,4.465611852763559e-05,0.0,4.465611852763559e-05,10.649880971873507,0.011111111111111112,0.0,0.011111111111111112,Below numerical detection threshold
0.012216773489967919,5.8739042783673334e-05,0.0,5.8739042783673334e-05,10.768926864952842,0.013333333333333334,0.0,0.013333333333333334,Below numerical detection threshold
0.018233480008684404,7.27382051132498e-05,0.0,7.27382051132498e-05,10.861762580213409,0.021111111111111112,0.0,0.021111111111111112,Below numerical detection threshold
0.027213387683753087,8.908589039219134e-05,0.0,8.908589039219134e-05,10.949808925028861,0.02333333333333333,0.0,0.02333333333333333,Below numerical detection threshold
0.0406158598837698,0.00011470599242387095,0.0,0.00011470599242387095,11.059586106733654,0.02333333333333333,0.0,0.02333333333333333,Below numerical detection threshold
0.06061898993497572,0.0001529315561328313,0.0,0.0001529315561328313,11.18449710765415,0.031111111111111114,0.0,0.031111111111111114,Below numerical detection threshold
0.09047357242349294,0.0001925400184225104,0.0,0.0001925400184225104,11.284521009035336,0.043333333333333335,0.0,0.043333333333333335,Below numerical detection threshold
0.13503140378698722,0.0002283202861748671,0.0,0.0002283202861748671,11.358544500114133,0.05333333333333334,0.0,0.05333333333333334,Below numerical detection threshold
0.20153376859417332,0.0002696729375436209,0.0,0.0002696729375436209,11.430837365938446,0.06,0.0,0.06,Below numerical detection threshold
0.3007882518043099,0.00032498377065354715,7.26954638700085e-156,0.00032498377065354715,11.511861673313751,0.06666666666666667,0.0,0.06666666666666667,
0.4489251258218603,0.00040421557555814,7.468405885727939e-72,0.00040421557555814,11.606613044085421,0.0811111111111111,0.0,0.0811111111111111,
0.670018750350959,0.0005187173598492858,3.874369040811607e-34,0.0005187173598492858,11.714930782716982,0.09444444444444444,0.0,0.09444444444444444,
1.0,0.0006784571511990463,3.306741041513355e-17,0.0006784571511990132,11.817393763134806,0.11222222222222222,0.0,0.11222222222222222,
